"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상남도 거제시 고현동","695-2","0695","0002","정우하이츠빌라","84.3","60.96","202108","18","8,800","4","2003","고현로2길 38",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202012","24","4,300","2","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","40","202101","14","3,000","3","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202101","25","5,500","1","1985","능포로4길 20-7","20210310"
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","55.71","40","202102","24","4,000","3","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202103","10","5,500","1","1985","능포로4길 20-7","20210316"
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202103","16","5,500","1","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202107","28","4,000","2","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","497-8","0497","0008","대선","53.07","41.66","202012","18","4,000","3","1984","능포로9길 4",""
"경상남도 거제시 능포동","497-8","0497","0008","대선","41.76","33.2","202102","27","2,350","1","1984","능포로9길 4",""
"경상남도 거제시 능포동","469","0469","0000","동백빌라","108.3","148.63","202011","19","9,500","1","1994","능포로10길 10",""
"경상남도 거제시 능포동","469","0469","0000","동백빌라","108.3","148.63","202104","8","8,600","1","1994","능포로10길 10",""
"경상남도 거제시 능포동","321-1","0321","0001","복지","46.28","41.38","202012","4","2,000","3","1982","능포로6길 39-18",""
"경상남도 거제시 능포동","711","0711","0000","소라파크","51.202","39","202104","28","2,500","3","1983","옥수로1길 5",""
"경상남도 거제시 능포동","645-10","0645","0010","옥수상가","43.84","12.39","202104","29","2,000","3","1978","옥수로10길 35",""
"경상남도 거제시 능포동","712-8","0712","0008","일산주택","72.9","53","202109","30","4,000","1","1985","능포로 111-3",""
"경상남도 거제시 능포동","701-85","0701","0085","청운나","59.32","64","202104","9","4,000","2","1984","옥수로1길 17",""
"경상남도 거제시 덕포동","41","0041","0000","더베이사이드비치","177.101","261.08","202103","23","46,500","4","2013","옥포대첩로 472",""
"경상남도 거제시 덕포동","41","0041","0000","더베이사이드비치","177.101","261.08","202104","5","48,700","2","2013","옥포대첩로 472",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","22,500","1","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","22,500","2","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","50,000","3","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","55,000","4","2015","옥포대첩로 442-14",""
"경상남도 거제시 동부면 산양리","872-4","0872","0004","동부양지빌라","65.88","45","202105","11","5,800","2","1997","거제남서로 3104",""
"경상남도 거제시 두모동","480-3","0480","0003","초원빌라103동","77.53","48.03","202101","5","5,000","2","2000","두모길 27",""
"경상남도 거제시 사등면 덕호리","107-6","0107","0006","동주주택가동나동","46.73","36.34","202102","8","4,500","2","1996","거제남서로 5333-7",""
"경상남도 거제시 사등면 사곡리","59","0059","0000","바다풍경빌1,2동","65.69","103.48","202108","25","10,000","1","2012","모래실길 134-3",""
"경상남도 거제시 사등면 사곡리","46","0046","0000","바다풍경빌3동","65.69","119.3","202105","4","15,000","1","2012","모래실길 134-4",""
"경상남도 거제시 사등면 성포리","207","0207","0000","대성루첸하우스","59.3228","66.58","202109","14","7,000","4","2013","거제대로 5693",""
"경상남도 거제시 사등면 성포리","207-3","0207","0003","대성루첸하우스 103,104동","59.86","77.35","202011","16","10,500","4","2013","거제대로 5697-5",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","117.85","202012","1","28,500","2","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202012","4","28,000","1","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","59.8748","85.01","202101","11","17,000","4","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202101","25","28,269","3","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202102","17","28,200","2","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202105","17","19,000","1","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202105","28","28,000","3","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202108","23","24,500","3","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","120.64","202109","22","28,000","2","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","343-3","0343","0003","성포상가","41.17","23.5","202109","6","3,500","3","1984","성포로3길 18",""
"경상남도 거제시 사등면 성포리","207-12","0207","0012","유원빌리지2","65.7","49.63","202103","17","28,000","2","2013","거제대로 5697-10",""
"경상남도 거제시 사등면 성포리","370-12","0370","0012","해광빌라1동","68.03","44","202103","23","6,200","3","1996","성포로 110-1",""
"경상남도 거제시 사등면 성포리","373-13","0373","0013","해광빌라6동","75.74","55.25","202101","27","6,000","4","1996","성포로 110-1",""
"경상남도 거제시 상동동","474-13","0474","0013","삼일아트빌","82.77","59.65","202109","28","9,500","3","2001","거제중앙로3길 14-10",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9973","266.11","202010","19","28,000","1","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9919","266.09","202011","14","22,000","3","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9973","266.11","202012","12","26,500","2","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9919","266.09","202012","28","24,700","4","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9919","266.09","202102","3","24,800","4","2013","고현천로 227","20210310"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9973","266.11","202103","12","29,400","4","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9973","266.11","202104","24","30,000","2","2013","고현천로 227",""
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","84.9919","266.09","202105","7","20,700","2","2013","고현천로 227",""
