x,y,ID,NAME,CATE,type,lat,lng
481596,1137411,1347146096,지혜숲작은도서관,작은도서관,도서관,37.59421754362156,126.91664310364642
487613,1137131,1831066221,홍은1동햇살도서관,작은도서관,도서관,37.59322453373731,126.9438965330019
482819,1132964,855865581,작은도서관당나귀,작은도서관,도서관,37.57819447809336,126.92219909234149
483083,1134955,26964542,하늘샘어린이도서관,작은도서관,도서관,37.5853707666569,126.92338721282157
482566,1132452,69464230,하늘꿈작은도서관,작은도서관,도서관,37.57634848288855,126.92105537881984
482471,1136942,21812187,꿈샘도서관,작은도서관,도서관,37.592530016895616,126.92060801702658
483229,1138814,50649459,그루터기작은도서관,작은도서관,도서관,37.599278894245984,126.92403427381775
479959,1137888,572102461,올리브나무도서관,작은도서관,도서관,37.59593116421945,126.90922658986273
481828,1133010,800893705,DMC래미안클라시스아파트 푸른북카페,작은도서관,도서관,37.57835721797326,126.9177113580312
483197,1136571,1862259882,백련산힐스작은도서관,작은도서관,도서관,37.59119511176469,126.9238975599568
